Vernier Format 2
biela-manivela-20Hz-22-05-2024.cmbl 22/04/2025 11:31:55 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

1.05	-5.21853446346	-6.53528842136	7.72469798524	0.266511	-0.053165	2.30731018519
1.1	-5.53269372882	-5.78867535246	11.8563879122	0.2683975	0.0689811111111	1.98341867284
1.15	-5.79449311662	-5.0614548308	10.1056718417	0.2752575	0.153397222222	1.43970015432
1.2	-6.02138591938	-4.66390761229	5.52687596465	0.285033	0.2066575	0.980249537037
1.25	-6.24827872214	-4.56694487607	1.68068742785	0.296352	0.244863888889	0.651170679012
1.3	-6.4751715249	-4.57664114969	-0.447105950355	0.3099005	0.271160555556	0.356815277778
1.35	-6.70206432766	-4.67360388591	-1.12584510389	0.324135	0.281545833333	0.0570078703704
1.4	-6.94641042294	-4.7123889804	-1.19048692796	0.3387125	0.276115	-0.227396296296
1.45	-7.1733032257	-4.76087034851	-1.62143242211	0.352261	0.257154722222	-0.480358796296
1.5	-7.41764932098	-4.88692190558	-1.63220605927	0.3647805	0.227809166667	-0.721093981481
1.55	-7.66199541626	-4.99358091537	-0.350143213855	0.375585	0.185124722222	-0.949284259259
1.6	-7.92379480405	-4.96449209451	1.58372469135	0.383817	0.130530555556	-1.11787299383
1.65	-8.16814089933	-4.76087034849	2.04160427888	0.388962	0.0686	-1.18642006173
1.7	-8.39503370209	-4.64451506504	0.280114571037	0.3905055	0.008575	-1.18112685185
1.75	-8.62192650485	-4.73178152764	-1.6429796972	0.389648	-0.0485916666667	-1.17715694444
1.8	-8.86627260013	-4.87722563198	-2.33787930668	0.385875	-0.108997777778	-1.16747037037
1.85	-9.11061869541	-5.01297346269	-2.11701974068	0.378672	-0.167593611111	-1.11252685185
1.9	-9.37241808321	-5.07115110442	-2.2301429325	0.3688965	-0.221616111111	-1.01936635802
1.95	-9.61676417849	-5.15841756698	-3.81386762358	0.356377	-0.271255833333	-0.872479783951
2	-9.87856356629	-5.42991322831	-5.99014236987	0.3414565	-0.312415833333	-0.626557253086
2.05	-10.1578162466	-5.77897907856	-7.80011344806	0.3246495	-0.340236944444	-0.20839367284
2.1	-10.4545222194	-6.2153113918	-8.75896717469	0.306642	-0.344333888889	0.469878240741
2.15	-10.7686814848	-6.77769526206	-6.56653197128	0.2886345	-0.306413333333	1.39470787037
2.2	-11.1352006277	-7.18493875422	1.34670467016	0.273028	-0.203989722222	2.24871435185
2.25	-11.5366263557	-6.67103625217	9.59392406937	0.2659965	-0.0551658333333	2.54079367284
2.3	-11.815879036	-5.846852994	10.9083078258	0.2683975	0.0797475	2.19424722222
2.35	-12.0951317163	-5.42021695472	8.52733396685	0.2759435	0.173977222222	1.57568271605
2.4	-12.3569311041	-5.06145483094	6.46956923117	0.287091	0.234288055556	0.975432716049
2.45	-12.6012771994	-4.77056662244	4.27713403157	0.300468	0.266110833333	0.49650308642
2.5	-12.8281700022	-4.60572997056	1.73455561657	0.314531	0.277544166667	0.167424228395
2.55	-13.0550628049	-4.59603369689	-0.764928251636	0.328594	0.278020555556	-0.0537260802469
2.6	-13.2819556077	-4.72208525417	-2.38636067207	0.3424855	0.272018055556	-0.263601851852
2.65	-13.526301703	-4.88692190522	-2.75266434173	0.3562055	0.254963333333	-0.531067746914
2.7	-13.7706477982	-5.04206228306	-2.00389655015	0.368725	0.220758611111	-0.830028240741
2.75	-14.032447186	-5.13902501967	-0.269340938518	0.379015	0.169499166667	-1.07584490741
2.8	-14.2942465738	-5.05175855733	1.03426918244	0.3860465	0.108521388889	-1.21944969136
2.85	-14.5385926691	-4.94509954767	0.581776415617	0.389991	0.0436372222222	-1.27074089506
2.9	-14.7829387644	-4.94509954767	-0.86189098787	0.390334	-0.0203894444444	-1.27079382716
2.95	-15.0272848597	-5.061454831	-1.82613153012	0.387933	-0.0838444444444	-1.25120895062
3	-15.2890842475	-5.18750638794	-1.70762151932	0.3819305	-0.146346666667	-1.20722237654
3.05	-15.5508836353	-5.235987756	-1.48676195392	0.373184	-0.205990555556	-1.12401311728
3.1	-15.8126830231	-5.28446912406	-2.24091656898	0.361179	-0.261156388889	-0.973950617284
3.15	-16.0744824109	-5.42991322828	-3.70613124988	0.346773	-0.307747222222	-0.71214845679
3.2	-16.3537350912	-5.64323124789	-5.37065822275	0.3297945	-0.338617222222	-0.292026388889
3.25	-16.6329877715	-5.98260082483	-6.33489876583	0.3119585	-0.344333888889	0.311029012346
3.3	-16.9471470369	-6.38984431672	-4.64882451923	0.2941225	-0.316036388889	1.08404938272
3.35	-17.2787595947	-6.61285860994	0.393237760339	0.278173	-0.237718055556	1.85140601852
3.4	-17.6278254451	-6.41893313806	6.57730560247	0.268226	-0.114619166667	2.25644243827
3.45	-17.9419847105	-5.79837162639	9.54544269784	0.2666825	0.012005	2.14666126543
3.5	-18.2037840983	-5.22629148261	7.70315071247	0.2707985	0.112141944444	1.73807839506
3.55	-18.4481301936	-4.96449209472	4.1963317546	0.2790305	0.18522	1.29027283951
3.6	-18.6924762889	-4.88692190528	1.88538653957	0.2900065	0.238289722222	0.89052962963
3.65	-18.9368223841	-4.84813681083	0.915759171821	0.303555	0.273161388889	0.528368209877
3.7	-19.1811684794	-4.77056662244	-0.328595943673	0.3181325	0.289072777778	0.212575308642
3.75	-19.4080612822	-4.81904799067	-2.42945522414	0.3328815	0.292693333333	-0.0741578703704
3.8	-19.6524073775	-5.061454831	-3.39369576472	0.347802	0.283737222222	-0.39831404321
3.85	-19.9142067653	-5.29416539767	-1.69146106241	0.3620365	0.255725555556	-0.765027623457
3.9	-20.1934594456	-5.30386167122	1.5729510554	0.3743845	0.205133055556	-1.07552731481
